NAME,CATEGORY,RATING,TELEPHONE,FAX,WEBSITE,EMAIL,ADDRESS
Birken-Apotheke,Apotheken,"4,3",+492212402242,,8625.apotheken-website-vorschau.de,info@birkenapotheke.de,"Hohenstaufenring 59, 
50674 
Köln-Neustadt-Süd"
Birken-Apotheke,Apotheken,"4,3",,0221 2 40 22 41,8625.apotheken-website-vorschau.de,info@birkenapotheke.de,"Hohenstaufenring 59, 
50674 
Köln-Neustadt-Süd"
Dom-Apotheke,Apotheken,"5,0",+4922120050500,,http://www.dom-apotheke-koeln.de,info@dom-apotheke-koeln.de,"Bahnhofsvorplatz 1, 
50667 
Köln-Altstadt-Nord"
Bären-Apotheke Sandra May,Apotheken,"5,0",+49221511889,,http://www.baeren-apotheke-koeln.de,info@baeren-apotheke-koeln.de,"Venloer Str. 371, 
50823 
Köln"
Augustiner Apotheke,Apotheken,"4,3",+492212582296,,http://www.augustiner-apotheke-koeln.de,augustiner-apo@web.de,"Martinstr. 16-20, 
50667 
Köln-Altstadt-Nord"
Fleming Alexander Apotheke,Apotheken,"5,0",+49221726262,,http://www.alexander-fleming-apotheke.de,info@alexander-fleming-apotheke.de,"Sudermanstr. 1, 
50670 
Köln-Neustadt-Nord"
Westgate-Apotheke,Apotheken,"3,0",+492212402243,,www.westgate-apotheke.de,info@westgate-apotheke.de,"Habsburgerring 2, 
50674 
Köln-Altstadt-Nord"
Westgate-Apotheke,Apotheken,"3,0",,0221 2 40 23 13,www.westgate-apotheke.de,info@westgate-apotheke.de,"Habsburgerring 2, 
50674 
Köln-Altstadt-Nord"
Lenau Apotheke,Apotheken,"5,0",+49221554402,,http://www.lenau-apotheke.de,info@lenau-apotheke.de,"Försterstr. 54, 
50825 
Köln-Neuehrenfeld"
Stern-Apotheke H. Hübers,Apotheken,"4,5",+49221231086,,,Stern-Apotheke-Koeln@web.de,"Waidmarkt 26, 
50676 
Köln"
Hansa-Apotheke,Apotheken,"3,0",+4922113986570,,,,"Sudermanstr. 1, 
50670 
Köln-Neustadt-Nord"
Pfauen-Apotheke,Apotheken,"5,0",+49221734444,,http://pfauen-apotheke-koeln.de/,pfauen-apotheke-koeln@web.de,"Neusser Str. 266, 
50733 
Köln-Nippes"
DONATUS Apotheke,Apotheken,"3,0",+492215901908,0221 5 90 54 89,http://www.donatus-apotheke-koeln.de,info@donatus-apotheke-koeln.de,"Escher Str. 2, 
50767 
Köln"
Uhlen-Apotheke,Apotheken,"4,0",+4922125899500,,,,"Wilhelmstr. 55, 
50733 
Köln-Nippes"
Adler Apotheke am Wilhelmplatz,Apotheken,"4,0",+492219726555,,http://www.dominikus-apotheke.de,info@adlerapothekeamwilhelmplatz.de,"Viersener Str. 12, 
50733 
Köln"
Sülzburg Apotheke,Apotheken,"4,7",+49221442861,,,suelzburgapotheke@outlook.de,"Sülzburgstr. 7, 
50937 
Köln"
Vitalis-Apotheke,Apotheken,"5,0",+49221585951,,http://www.vitalis-apotheke-koeln.de,va-koeln@gmx.net,"Venloer Str. 601-603, 
50827 
Köln-Bickendorf"
Rochus-Apotheke Dr. Thomas Gardemann e. K.,Apotheken,"4,5",+492219532240,,http://www.rochusapotheke-koeln.de,info@rochusapotheke-koeln.de,"Subbelrather Str. 592, 
50827 
Köln-Bickendorf"
Arkaden Apotheke Inh. Peter Gottschall e. K.,Apotheken,"5,0",+492213605998,0221 3 60 56 26,http://www.arkaden-apo.de/arkaden-apo,rezept@arkaden-apo.de,"Vorgebirgstr. 120, 
50969 
Köln-Zollstock"
Apotheke Friesentor,Apotheken,,+4922127099971,,,,"Hohenzollernring 52, 
50672 
Köln-Neustadt-Nord"
Apotheke Friesentor Hohenzollern 52,Apotheken,,+4922127099971,,,,"Hohenzollernring 52, 
50672 
Köln-Neustadt-Nord"
Welter Uwe,Apotheken,,+49221522037,,,,"Maastrichter Str. 49, 
50672 
Köln-Neustadt-Nord"
Ossendorfer Apotheke,Apotheken,"4,0",+49221554973,,http://www.ossendorfer-apotheke.de,ossendorfer-apotheke@web.de,"Vastersstr. 1, 
50825 
Köln-Neuehrenfeld"
Hohenzollern Apotheke,Apotheken,,+492212570111,,http://www.hohenzollern-apotheke.com,info@hohenzollern-apotheke.com,"Hohenzollernring 26, 
50672 
Köln-Neustadt-Nord"
Viktoria Apotheke,Apotheken,,+49221920670,,http://www.viktoria-apotheke.de,info@viktoria-apotheke.de,"Aachener Str. 6, 
50674 
Köln-Neustadt-Süd"
Neptun,Apotheken,"4,0",+492215305481,,http://www.apotheke-koeln-bickendorf.de,neptun-apotheke-koeln@t-online.de,"Venloer Str. 670, 
50827 
Köln-Bickendorf"
Merlin Apotheke,Apotheken,"2,3",+492213103050,,http://www.merlinapo.de,info@merlinapo.de,"Richard-Wagner-Str. 9, 
50674 
Köln-Neustadt-Süd"
Kosmas Apotheke,Apotheken,,+492219253034,,http://www.kosmas-apotheke-koeln.de,kosmas-apotheke-ohl@arcor.de,"Apostelnstr. 10, 
50667 
Köln-Altstadt-Nord"
Syring-Apotheke,Apotheken,"5,0",+49221711000,,,info@syring-apotheke.de,"Friedrich-Karl-Str. 245, 
50735 
Köln-Niehl"
Hanisch Stefanie,Apotheken,,+492219253654,,http://www.schwanen-apotheke-koeln.de,service@schwanen-apotheke-koeln.de,"Breite Str. 141, 
50667 
Köln-Altstadt-Nord"
